title,category,link
Rocket Men,history,https://www.audible.com/pd/Bios-Memoirs/Rocket-Men-Audiobook/B075GYJGWQ
Ghost Wars,history,https://www.audible.com/pd/History/Ghost-Wars-Audiobook/B005ZTQ4RY
The Manhattan Project,history,https://www.audible.com/pd/History/The-Manhattan-Project-Audiobook/B01B8JJKAM
The Warmth of Other Suns,history,https://www.audible.com/pd/History/The-Warmth-of-Other-Suns-Audiobook/B004RC37C0
The Crusades,history,https://www.audible.com/pd/History/The-Crusades-Audiobook/B01H41BUZG
Band of Brothers,history,https://www.audible.com/pd/History/Band-of-Brothers-Audiobook/B007IKV2P2
Fingerprints of the Gods,history,https://www.audible.com/pd/History/Fingerprints-of-the-Gods-Audiobook/B01GQO53QE
Stalin,history,https://www.audible.com/pd/History/Stalin-Audiobook/B01KBAKS0A
John Adams,history,https://www.audible.com/pd/Bios-Memoirs/John-Adams-Audiobook/B002VACOB0
The Other Side of History: Daily Life in the Ancient World,history,https://www.audible.com/pd/History/The-Other-Side-of-History-Daily-Life-in-the-Ancient-World-Audiobook/B00DDVPXJG
Destiny of the Republic,history,https://www.audible.com/pd/History/Destiny-of-the-Republic-Audiobook/B005KM0ME2
1491,history,https://www.audible.com/pd/History/1491-Audiobook/B01KTWQKTS
American Wolf,history,https://www.audible.com/pd/History/American-Wolf-Audiobook/B074F4R3S1
In the Heart of the Sea,history,https://www.audible.com/pd/History/In-the-Heart-of-the-Sea-Audiobook/B002V5B7U4
Being a Poor Roman,history,https://www.audible.com/pd/History/Being-a-Poor-Roman-Audiobook/B01DPSKHFG
Echo in Ramadi,history,https://www.audible.com/pd/History/Echo-in-Ramadi-Audiobook/B079VV9PVN
Lone Survivor,history,https://www.audible.com/pd/Bios-Memoirs/Lone-Survivor-Audiobook/B007VQX5CG
The Story of Human Language,history,https://www.audible.com/pd/History/The-Story-of-Human-Language-Audiobook/B00DGBECNG
The Mother Tongue,history,https://www.audible.com/pd/History/The-Mother-Tongue-Audiobook/B014VE660I
The History of the Ancient World,history,https://www.audible.com/pd/History/The-History-of-the-Ancient-World-Audiobook/B00CYNMAIG
Great Mythologies of the World,history,https://www.audible.com/pd/History/Great-Mythologies-of-the-World-Audiobook/B013KRSIVC
The Rise and Fall of Ancient Egypt,history,https://www.audible.com/pd/History/The-Rise-and-Fall-of-Ancient-Egypt-Audiobook/B075FX4NLV
Empire,history,https://www.audible.com/pd/History/Empire-Audiobook/B075VFT886
The Power of Myth: Programs 1-6,history,https://www.audible.com/pd/History/The-Power-of-Myth-Programs-1-6-Audiobook/B002V59WRE
The Templars,history,https://www.audible.com/pd/History/The-Templars-Audiobook/B074F4FKFF
The Silk Roads,history,https://www.audible.com/pd/History/The-Silk-Roads-Audiobook/B01B6OC0NS
Being A Rich Roman,history,https://www.audible.com/pd/History/Being-A-Rich-Roman-Audiobook/B01DPQ306Q
Mythos,history,https://www.audible.com/pd/Classics/Mythos-Audiobook/B07253QHF2
Killing the Rising Sun,history,https://www.audible.com/pd/History/Killing-the-Rising-Sun-Audiobook/B01EIL040M
The Dead Hand,history,https://www.audible.com/pd/History/The-Dead-Hand-Audiobook/B002V0RAAK
The Last Punisher,history,https://www.audible.com/pd/Bios-Memoirs/The-Last-Punisher-Audiobook/B01JZSJ0VW
The Early Years of Ramses the Great,history,https://www.audible.com/pd/History/The-Early-Years-of-Ramses-the-Great-Audiobook/B01DPQ3E58
The Sixth Extinction,history,https://www.audible.com/pd/History/The-Sixth-Extinction-Audiobook/B00FZ4JEAS
The Frontiersmen,history,https://www.audible.com/pd/Bios-Memoirs/The-Frontiersmen-Audiobook/B004QXW564
Dead Wake,history,https://www.audible.com/pd/History/Dead-Wake-Audiobook/B00R8JJE12
Zealot,history,https://www.audible.com/pd/Bios-Memoirs/Zealot-Audiobook/B00DVQEVBY
Helter Skelter,history,https://www.audible.com/pd/History/Helter-Skelter-Audiobook/B005KBQQZC
Killing Kennedy,history,https://www.audible.com/pd/History/Killing-Kennedy-Audiobook/B009G44NK4
13 Hours,history,https://www.audible.com/pd/Bios-Memoirs/13-Hours-Audiobook/B00MMHE384
The Food Explorer,history,https://www.audible.com/pd/Bios-Memoirs/The-Food-Explorer-Audiobook/B07981NVCT
Thomas Jefferson: The Art of Power,history,https://www.audible.com/pd/Bios-Memoirs/Thomas-Jefferson-The-Art-of-Power-Audiobook/B009R9KT74
Black Against Empire,history,https://www.audible.com/pd/History/Black-Against-Empire-Audiobook/B01ENXELU4
Bonhoeffer,history,https://www.audible.com/pd/Bios-Memoirs/Bonhoeffer-Audiobook/B003Z8QZXA
Tin Can Titans,history,https://www.audible.com/pd/History/Tin-Can-Titans-Audiobook/B074JL8LBC
A Historical Tour of London,history,https://www.audible.com/pd/History/A-Historical-Tour-of-London-Audiobook/B01DPQ3N7M
The Big Book of Serial Killers,history,https://www.audible.com/pd/Bios-Memoirs/The-Big-Book-of-Serial-Killers-Audiobook/B074F3GMLD
Killing Lincoln,history,https://www.audible.com/pd/History/Killing-Lincoln-Audiobook/B005OCRVZ6
Stamped from the Beginning,history,https://www.audible.com/pd/History/Stamped-from-the-Beginning-Audiobook/B01N27TTT3
Surprises in the Ancestry of Old English,history,https://www.audible.com/pd/History/Surprises-in-the-Ancestry-of-Old-English-Audiobook/B01KBAJYYQ
Fantasyland,history,https://www.audible.com/pd/History/Fantasyland-Audiobook/B07576HL6H
The Wright Brothers,history,https://www.audible.com/pd/History/The-Wright-Brothers-Audiobook/B00TA5BJ4W
Krakatoa,history,https://www.audible.com/pd/History/Krakatoa-Audiobook/B002V5H10Y
