title,category,makesense
"The War Planners Series, Books 1-3",Military,0
"Retreat, Hell!",Military,0
White Plague,Military,0
Top Secret,Military,0
The Minotaur,Military,0
The Day After Never: Insurrection,Military,0
Flight of the Intruder,Military,0
Target America,Military,0
Hunter Killer,Military,0
The Red Line,Military,0
Storming Heaven,Military,0
Tom Clancy's Op-Center: Scorched Earth,Military,0
The Target,Military,0
Ice Station Nautilus,Military,0
Friendly Fire,Military,0
National Security,Military,0
Sweepers,Military,0
Golden Son,SciFi,0
The Wise Man's Fear,SciFi,0
American Gods: The Tenth Anniversary Edition (A Full Cast Production),SciFi,0
The Return of the King,SciFi,0
NPCs,SciFi,0
Replay,SciFi,0
Black Ops,SciFi,0
Legends of Ahn,SciFi,0
Transcendent,SciFi,0
The Sirens of Titan,SciFi,0
Time Was,SciFi,0
Ascendant: Book 1,SciFi,0
The Final Empire,SciFi,0
The Land: Forging,SciFi,0
The Jekyll Revelation,SciFi,0
SpecOps,SciFi,0
The Eye of the World,SciFi,0
Morning Star,SciFi,0
Drums of Autumn,SciFi,0
Dragonfly in Amber,SciFi,0
Edgedancer,SciFi,0
Nice Dragons Finish Last,SciFi,0
Wild Seed,SciFi,0
Infinite,SciFi,0
Paradise,SciFi,0
The Land: Alliances: A LitRPG Saga,SciFi,0
Altered Carbon,SciFi,0
After It Happened,SciFi,0
Dandelion Wine,SciFi,0
The Land: Catacombs,SciFi,0
Ender's Game,SciFi,0
The Fiery Cross,SciFi,0
The Well of Ascension,SciFi,0
Warbreaker,SciFi,0
The Blood Debt,SciFi,0
Warlock Holmes,SciFi,0
14,SciFi,0
The Land: Swarm,SciFi,0
Extracted,SciFi,0
Points of Impact,SciFi,0
Not Alone,SciFi,0
11-22-63,SciFi,0
Starman Jones,SciFi,0
Voyager,SciFi,0
The X-Files: Cold Cases,SciFi,0
A Knight of the Seven Kingdoms,SciFi,0
Daughter of Dragons,SciFi,0
Rendezvous with Rama,SciFi,0
Persepolis Rising,SciFi,0
FREE: Professional Integrity (A Riyria Chronicles Tale),SciFi,0
